tag,unique_users,unique_movies,tag_count
sci-fi,4130,855,14917
atmospheric,2974,868,12776
action,2941,1308,11754
comedy,3030,2306,11606
funny,2808,1633,9851
surreal,2777,774,9443
visually appealing,2806,538,9086
twist ending,2854,471,8428
dark comedy,2621,780,7777
thought-provoking,2829,396,7731
based on a book,1611,1719,7725
romance,2086,1868,7435
dystopia,2011,454,7056
cinematography,2017,813,6645
fantasy,2155,773,6476
social commentary,2034,761,6426
violence,1508,2328,6414
thriller,2011,1109,6384
stylized,1793,524,6201
classic,2330,663,6183
quirky,1899,579,6181
psychology,2258,339,6136
dark,2044,580,6127
adventure,2015,736,6038
murder,723,3810,6033
time travel,1980,598,5786
horror,1542,1075,5615
drama,1595,2106,5520
revenge,1337,1826,5520
coming of age,1512,1096,5370
suspense,1699,1210,5302
psychological,1991,407,5175
friendship,1395,1856,5145
animation,1535,825,5143
space,2011,328,5137
disturbing,1741,479,5109
black comedy,1723,768,4968
great soundtrack,2028,451,4905
superhero,1347,379,4837
nudity (topless),971,1630,4791
cult film,1390,1317,4728
mystery,1670,771,4660
based on a true story,1434,887,4645
aliens,1280,427,4473
music,1681,1165,4457
mindfuck,1878,200,4444
great acting,1772,380,4362
satire,1599,790,4359
true story,1461,534,4245
predictable,1402,871,4222
crime,1333,1062,4061
drugs,1313,1102,4015
bd-r,13,3948,3969
musical,1038,1280,3947
woman director,105,3602,3932
boring,1321,1525,3746
family,1037,1353,3625
world war ii,1192,745,3579
criterion,278,1468,3546
dreamlike,1402,255,3502
post-apocalyptic,1337,288,3500
war,1274,841,3471
serial killer,1056,840,3416
artificial intelligence,1469,186,3397
bittersweet,1376,300,3365
mental illness,1221,618,3352
independent film,318,2861,3318
tense,1252,447,3292
magic,1094,570,3264
disney,724,655,3178
love,882,1718,3155
high school,865,789,3145
inspirational,1520,244,3095
future,1046,446,3070
survival,1006,680,3032
sequel,526,1253,2994
alternate reality,1399,199,2956
plot twist,1319,313,2914
emotional,1309,407,2871
history,1101,811,2849
philosophical,1462,234,2846
politics,930,879,2828
death,510,1968,2787
new york city,595,1195,2760
martial arts,847,917,2724
police,467,1526,2676
philosophy,1332,226,2632
gore,757,928,2626
witty,1193,344,2617
imdb top 250,657,328,2603
soundtrack,1073,751,2600
visually stunning,1322,223,2576
nonlinear,1350,143,2562
anime,859,435,2530
religion,839,802,2527
slow,1038,766,2484
parody,933,436,2462
beautiful,1231,329,2461
black and white,757,699,2457
biography,594,1040,2423
