Model,Type,Val_RMSE,Val_MAE,Test_RMSE,Test_MAE,Val_Accuracy,Test_Accuracy
Baseline (Popularity),Non-Personalized,,,,,,
KNN,Content-Based,0.8951832024725873,0.6863604694289104,0.8944960016430924,0.6858695080926788,,
Random Forest,Content-Based,0.8839530045560119,0.6808598616165626,0.8828211791890169,0.6800137073543521,,
Ridge,Content-Based,0.8648295419223093,0.6594961478072472,0.8634641913013795,0.6586858273997043,,
Logistic Regression,Content-Based (Binary),,,,,0.743429782118076,0.7439728477209013
AdaBoost,Boosting,1.2105593510460664,1.0125492610397016,1.210226159454211,1.012637424944312,,
XGBoost,Boosting,0.8683306292405097,0.665751573463337,0.8670880112250097,0.6649505010934996,,
CatBoost,Boosting,0.8718450274709355,0.6690398190074449,0.8706673653967517,0.6682739207136663,,
GradientBoost,Boosting,0.8560506258199396,0.6495453894123924,0.8544086740641466,0.6485548837119364,,
Stacking,Ensemble,0.8616658882703606,0.6553106674298629,0.8601111629651007,0.6543638678871596,,
